Question,Answer,Origin
"For the statement, ""The default procedures provide for the sale of all allowances at a single, clearing price"", does the hypothesis ""The default makes sure there isn't more than one sale "" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Combined Power Plant Air Pollutant Control "", does the hypothesis ""The power plant has air pollutant control to capture CO2"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""This is the last lap of a conduit bringing water from a mountain stream to the walled city"", does the hypothesis ""The conduit brings water from the ocean to the city"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""As the steward of taxpayer dollars, it is accountable for how its agencies and grantees spend those funds, and is responsible for safeguarding against improper payments-payments that should not have been made or that were made for incorrect amounts"", does the hypothesis ""it is responsible for how its agencies spend taxpayer dollars"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Few people get easy, inexpensive access to doctors' records or, in this case, to teachers' evaluations of Seth's speech difficulties"", does the hypothesis ""The wanted everyone to have equal access to the information"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""Room three is devoted to the so-called heretic period of Egyptian history when Ahkenaten established a religion based on only one god and founded a capital at Tell al Amarna in central Egypt"", does the hypothesis ""In addition to founding a religion based on only one god, Ahkenaten created that god in his own image"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""The British now had a base for the thriving trade they had carried on from Canton"", does the hypothesis ""The British abandoned trade with Canton when they could not establish a base"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""and i'm not sure if you know if when they cook down there if they automatically just do that they throw a couple of red peppers in it and"", does the hypothesis ""I don't know how they cook it down there"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Thousands of Iowans who live in mobile homes face increasingly unsafe conditions because no laws exist to govern how landlords care for property outside city limits, advocates say"", does the hypothesis ""Thousands of Iowans living in mobile homes face unsafe conditions because there are no laws governing how landlords care for those properties and how they charge their clients"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""The two men looked distracted but they fought strong and fast"", does the hypothesis ""The two men focused completely on a slow and steady fight "" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""The planets and the sun were set on tracks around the outside, with a clockwork drive mechanism that moved them by means of stranded spiderweb cords"", does the hypothesis ""The planets and the sun both had very varying paths which they travelled upon"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Then, says the publication, while the mother was in the hospital giving birth to her sixth child, the girl called Sawyer's office to ask if groceries could be delivered"", does the hypothesis ""While the mother gave birth, the girl asked if groceries could be delivered "" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Accordingly, IRD has adopted a code of conduct applicable to all employees that explains the standards of integrity and behavior expected"", does the hypothesis ""IRD has no code of conduct for everyone that works there"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Tim, we never should have got into this quagmire, but now we have no choice but to "", does the hypothesis """"Tim I'm so glad we got into this"""" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""coming out of the TV that just doesn't make my day you know"", does the hypothesis ""I don't like that"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""and plus they require a lot in the way of training and which now that i'm home would probably be a good time to do it if i were going to do it but you know i just don't you know there i don't know why but with dogs it seems you have to have a lot more vet bills"", does the hypothesis ""I think dogs create many more vet bills  "" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Between now and to-morrow morning"", does the hypothesis ""Between now and before noon "" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""To give the reader a basis for judging the prevalence and consequences of these findings, the instances identified should be related to the population or the number of cases examined and be quantified in terms of dollar"", does the hypothesis ""There are a number of consequences to the findings"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""It didn't"", does the hypothesis ""Failed to accomplish "" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""too much the only crazy comedy i  really like is Saturday Night Live"", does the hypothesis ""SNL is the only crazy comedy that I enjoy"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""it's uh that's interesting though"", does the hypothesis ""That's interesting though"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""The goal was to influence people who are in a position to make changes in the field"", does the hypothesis ""The rich were best suited to make changes"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""oh my land i'd be scared to death to have anything that expensive"", does the hypothesis ""I don't want anything that expensive"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""insofar as their design um uh American even foreign but i'm sure it's all for streamlining or for air streamlining"", does the hypothesis ""Very little streamlining went into this process"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""All detailees must be approved by the Comptroller General in a manner"", does the hypothesis ""Only some detailees must be approved by the Comptroller General"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Who was the first?She was"", does the hypothesis ""Who was the first? He was"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""oh then my wife and you would probably get along well um-hum"", does the hypothesis ""You will probably get along well with my wife but she can be feisty"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""Russert's guest, columnist Mike Barnicle, heaped praise and sympathy on Ted Kennedy for having borne so many family tragedies"", does the hypothesis ""Mike Barnicle was speaking at the white house "" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""The region was unproductive and without great resources, except for the Sarawak river valley, where the Chinese mined for gold and antimony"", does the hypothesis ""The Sarawak river valley was renowned as the perfect farm land"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Prepare To Win is this passage writ large"", does the hypothesis ""Prepare To Win is a large portion of the passage"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""It's almost a protection racket"", does the hypothesis ""It's nearly a protection scheme"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""The Executive Summary indicates comments received in response to the proposed rulemaking provided strong support for allowing the provision of fixed wireless"", does the hypothesis ""The commentary reflected on the findings in support of the fixation of wireless"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""oh that's my problem i'll go down to the uh SPCA or the Humane shelter and i i feel so sorry for them and i just want to i want to bring them all home"", does the hypothesis ""i don't like animals and the plight of shelter animals doesn't really bother me"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Steve Forbes befriends a crippled child, predicts this Christmas will be 'the best ever"", does the hypothesis ""He made the holidays better for a differently abled child"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Such a rating system provides not only a measure of performance and awareness, but it also places primary responsibility for information security with the managers whose operations depend on it"", does the hypothesis ""This rating system offers a considerable improvement over the previous system"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""If you'll remember, I had me a hole in the shoulder big enough to let th' wind whistle through"", does the hypothesis ""I had a hole in my shoulder because I was shot"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""But within sight of victory, tired body and tired nerves clamped a control bar with a shade too much pressure"", does the hypothesis ""The control bar was clamped with a little too much pressure"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""All athletes are required to pass physicals to ensure that they do not place themselves or other participants at risk"", does the hypothesis ""The physicals include tests of strength and speed"" represent entailment, contradiction, or neutrality?",neutral,mnli
